requirement_id,source,delivery_goals,acceptance_family,planned_test_id,status,implementation_evidence,verification_evidence,notes
"TEN-001","REQUIREMENTS.md","3;4;5;11","AC-TEN","T-TEN-001","Specified","","",""
"TEN-002","REQUIREMENTS.md","3;4;5;11","AC-TEN","T-TEN-002","Specified","","",""
"TEN-003","REQUIREMENTS.md","3;4;5;11","AC-TEN","T-TEN-003","Specified","","",""
"TEN-004","REQUIREMENTS.md","3;4;5;11","AC-TEN","T-TEN-004","Specified","","",""
"TEN-005","REQUIREMENTS.md","3;4;5;11","AC-TEN","T-TEN-005","Specified","","",""
"TEN-006","REQUIREMENTS.md","3;4;5;11","AC-TEN","T-TEN-006","Specified","","",""
"TEN-007","REQUIREMENTS.md","3;4;5;11","AC-TEN","T-TEN-007","Specified","","",""
"TEN-008","REQUIREMENTS.md","3;4;5;11","AC-TEN","T-TEN-008","Specified","","",""
"IAM-001","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-001","Specified","","",""
"IAM-002","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-002","Specified","","",""
"IAM-003","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-003","Specified","","",""
"IAM-004","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-004","Specified","","",""
"IAM-005","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-005","Specified","","",""
"IAM-006","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-006","Specified","","",""
"IAM-007","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-007","Specified","","",""
"IAM-008","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-008","Specified","","",""
"IAM-009","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-009","Specified","","",""
"IAM-010","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-010","Specified","","",""
"IAM-011","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-011","Specified","","",""
"IAM-012","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-012","Specified","","",""
"IAM-013","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-013","Specified","","",""
"IAM-014","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-014","Specified","","",""
"IAM-015","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-015","Specified","","",""
"IAM-016","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-016","Specified","","",""
"IAM-017","REQUIREMENTS.md","4;9;11","AC-IAM","T-IAM-017","Specified","","",""
"DEV-001","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-001","Specified","","",""
"DEV-002","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-002","Specified","","",""
"DEV-003","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-003","Specified","","",""
"DEV-004","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-004","Specified","","",""
"DEV-005","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-005","Specified","","",""
"DEV-006","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-006","Specified","","",""
"DEV-007","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-007","Specified","","",""
"DEV-008","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-008","Specified","","",""
"DEV-009","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-009","Specified","","",""
"DEV-010","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-010","Specified","","",""
"DEV-011","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-011","Specified","","",""
"DEV-012","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-012","Specified","","",""
"DEV-013","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-013","Specified","","",""
"DEV-014","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-014","Specified","","",""
"DEV-015","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-015","Specified","","",""
"DEV-016","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-016","Specified","","",""
"DEV-017","REQUIREMENTS.md","6;8;11","AC-DEV","T-DEV-017","Specified","","",""
"LIC-001","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-001","Specified","","",""
"LIC-002","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-002","Specified","","",""
"LIC-003","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-003","Specified","","",""
"LIC-004","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-004","Specified","","",""
"LIC-005","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-005","Specified","","",""
"LIC-006","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-006","Specified","","",""
"LIC-007","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-007","Specified","","",""
"LIC-008","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-008","Specified","","",""
"LIC-009","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-009","Specified","","",""
"LIC-010","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-010","Specified","","",""
"LIC-011","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-011","Specified","","",""
"LIC-012","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-012","Specified","","",""
"LIC-013","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-013","Specified","","",""
"LIC-014","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-014","Specified","","",""
"LIC-015","REQUIREMENTS.md","5;7;8;11","AC-LIC","T-LIC-015","Specified","","",""
"CNT-001","REQUIREMENTS.md","5;7;8;11","AC-CNT","T-CNT-001","Specified","","",""
